anos,total_efeito_estufa,total_atividades_economicas_efeito_estufa,total_familias_efeito_estufa,dioxido_carbono_origem_fossil,dioxido_carbono_com_origem_na_biomassa,oxido_nitroso,metano,amoniaco,compostos_organicos_volateis_nao_metanosos,monoxido_carbono,oxidos_azoto,oxidos_enxofre,hidrofluorcarbonetos,hexafluoreto_enxofre,agricultura_producao_animal_caca_floresta_pesca_intensidade_carbonica,industrias_extrativas_intensidade_carbonica,industrias_transformadoras_intensidade_carbonica,eletridade_gas_vapor..._intensidade_carbonica,captacao_tratamento_distribuicao_agua..._intensidade_carbonica,construcao_intensidade_carbonica,comercio_por_grosso_a_retalho..._intensidade_carbonica,transportes_armazenagem_intensidade_carbonica,alojamento_restauracao_similares_intensidade_carbonica,atividades_informacao_comunicacao_intensidade_carbonica,atividades_financeiras_seguros_intensidade_carbonica,atividades_imobiliarias_intensidade_carbonica,atividades_consultoria_cientificas_tecnicas_similares_intensidade_carbonica,atividades_administrativas_dos_servicos_apoio_intensidade_carbonica,administracao_publica_defesa_seguranca_social_obrigatoria_intensidade_carbonica,educacao_intensidade_carbonica,atividades_sauhumana_apoio_social_intensidade_carbonica,atividades_artisticas_espetaculos_desportivas_recreativas_intensidade_carbonica,outras_atividades_servicos_intensidade_carbonica,taxa_crescimento_real_do_pib_pibcrescimento,total_pibdespesas,total_valor_acrescentado_bruto_pibdespesas,agricultura_silvicultura_pesca_(valor_acrescentado_bruto)_pibdespesas,industria_(valor_acrescentado_bruto)_pibdespesas,energia_agua_saneamento_(valor_acrescentado_bruto)_pibdespesas,construcao_(valor_acrescentado_bruto)_pibdespesas,comercio_reparacao_veiculos_alojamento_restauracao_(valor_acrescentado_bruto)_pibdespesas,transportes_armazenagem_atividades_informacao_comunicacao_(valor_acrescentado_bruto)_pibdespesas,atividades_financeiras_seguros_imobiliarias_(valor_acrescentado_bruto)_pibdespesas,outras_atividades_servicos_(valor_acrescentado_bruto)_pibdespesas,impostos_liquidos_subsidios_aos_produtos_pibdespesas,total_pibproducao,consumo_privado_pibproducao,consumo_publico_pibproducao,formacao_bruta_capital_pibproducao,exportacoes_bens_servicos_pibproducao,importacoes_bens_servicos_pibproducao,total_pibrendimento,remuneracoes_dos_empregados_pibrendimento,excedentbruto_exploracao_pibrendimento,impostos_sobra_producao_importacao_liquidos_subsidios_pibrendimento
1995,70470.1,61032,9438.1,55600.1,11022.3,12990.9,405669.3,69958.0,240492.8,854740.9,320641.9,325641.6,54192.3,14358.6,2094.2,989.4,1325.6,9896.7,11783.0,302.3,138.3,1457.7,33.5,21.2,10.7,5.2,44.6,63.3,139.2,40.4,101.7,133.2,210.8,2.38,89028.6,78452.6,4273.8,14741.1,2241.1,5109.9,14739.2,5668.4,10825.8,20853.4,10575.9,89028.6,57619.1,15546.0,21539.0,23832.7,29508.3,89028.6,41662.0,37291.9,10074.7
1996,68293.3,58328.4,9964.9,53011.1,11100.0,13670.3,413056.5,71046.8,241473.6,826861.7,302783.5,267065.4,79459.7,14841.0,2101.9,1111.0,1220.7,7153.5,11071.3,301.0,168.1,1422.6,50.6,20.5,10.4,5.3,43.0,64.8,113.9,32.3,92.4,112.9,173.8,3.5,94351.6,82876.8,4331.4,16126.5,2416.8,5459.2,15241.8,6056.4,10938.0,22306.7,11474.8,94351.6,61353.1,16680.0,23029.7,25048.9,31760.0,94351.6,44760.2,38984.1,10607.4
1997,71402.6,61332,10070.6,55800.0,11294.4,13842.3,420735.7,70246.1,242478.4,806697.2,304089.8,278306.4,137807.6,15933.9,2296.0,718.2,1215.6,7429.2,10619.0,284.9,177.2,1402.2,67.3,20.0,8.9,4.9,42.2,65.2,78.6,27.9,88.5,108.5,335.2,4.4,102331.0,90046.3,3920.4,17485.9,2471.8,6357.3,16944.6,6669.3,12019.2,24177.9,12284.6,102331.0,65362.6,18008.8,27142.6,27787.1,35970.2,102331.0,48596.5,42264.9,11469.6
1998,76265.9,65634.9,10631,60343.2,11122.1,13961.3,428780.3,68113.6,243130.7,775614.2,317348.1,325279.5,200427.9,16316.1,2275.5,638.0,1174.6,7796.8,10108.0,279.4,204.7,1378.7,63.5,23.9,9.8,5.8,41.6,70.4,86.2,19.7,109.0,110.9,216.9,4.81,111353.4,97354.5,3943.8,18408.6,2744.8,7059.6,18348.2,7228.4,13107.7,26513.3,13998.9,111353.4,70172.6,19857.6,31531.7,30434.7,40643.2,111353.4,53106.9,45281.7,12964.8
1999,84465,73346,11119,68099.6,11223.3,14319.4,438313.5,70849.7,241244.6,740560.6,332330.4,334829.4,280519.5,17035.4,2325.1,637.0,1132.5,10531.1,9676.0,260.6,215.0,1351.7,65.9,23.9,10.1,5.6,38.5,70.4,85.5,17.4,111.6,96.2,152.0,3.91,119603.3,104225.1,3934.0,19294.2,2832.2,7616.7,19199.7,7978.7,14306.6,29063.1,15378.2,119603.3,75701.5,21562.9,34718.2,31673.3,44052.7,119603.3,57079.5,48510.2,14013.6
2000,83691.1,72187.7,11503.4,66851.0,11220.8,14975.9,446171.5,73219.1,235984.9,701185.7,328439.8,298840.0,359913.1,17122.9,2374.6,653.8,1111.5,8984.5,9556.2,268.3,216.8,1392.1,62.1,24.4,8.8,5.7,34.5,77.9,74.2,15.9,94.9,88.5,171.8,3.82,128414.4,112521.7,3993.4,19954.3,2855.1,8602.8,20855.0,8693.8,15123.9,32443.4,15892.8,128414.4,81416.2,24226.7,36953.4,36218.8,50400.6,128414.4,61820.4,51550.9,15043.2
2001,83571,71847.7,11723.3,66749.0,10862.0,14526.3,446083.7,70371.8,225737.1,655318.3,326821.5,281105.0,462271.2,18415.0,2292.6,637.8,985.2,8746.5,9718.4,242.0,178.3,1550.2,62.3,23.1,7.9,6.0,38.0,101.4,78.3,19.2,116.5,104.4,196.0,1.94,135775.0,119098.2,4020.0,20578.6,2976.2,9226.6,22052.1,9304.9,16405.7,34534.3,16676.8,135775.0,85280.5,26136.2,38230.8,37253.0,51125.6,135775.0,65394.8,54668.5,15711.7
2002,87895.3,75788.6,12106.7,71030.0,10695.1,14122.2,446909.3,68281.4,220336.9,634439.1,332087.2,280068.8,588932.7,18714.1,2340.4,654.0,991.7,9577.2,9146.3,248.1,180.3,1484.9,55.6,19.3,7.6,4.5,31.3,95.2,78.5,17.2,112.3,103.9,71.3,0.77,142554.3,124721.5,3881.6,20814.6,3201.9,9479.4,23218.8,9831.9,17447.0,36846.2,17832.7,142554.3,89388.8,27872.3,36927.7,38594.2,50228.8,142554.3,68422.3,56986.0,17145.9
2003,83113.3,71011.2,12102.1,66233.6,10354.0,13645.5,447116.2,64604.1,209909.8,610486.1,311946.1,188919.3,719817.3,22301.3,2288.9,733.3,996.1,6800.7,7836.4,254.2,186.4,1460.5,55.9,20.3,7.7,4.1,31.3,95.9,67.2,16.7,105.7,91.2,63.6,-0.93,146067.9,127734.3,3872.5,20220.5,3676.4,9157.8,23440.7,10129.7,18671.7,38564.9,18333.6,146067.9,92290.7,29369.0,33763.2,39974.7,49329.7,146067.9,69832.1,58840.9,17394.9
2004,86678.1,74536.8,12141.3,69417.5,10821.3,14675.2,446855.4,65898.6,201785.6,581533.1,318918.7,192364.5,829182.5,27350.3,2298.7,735.1,1034.0,7008.6,7163.1,257.8,190.1,1478.2,53.0,18.8,9.9,3.4,30.2,91.1,65.4,16.2,102.7,85.0,60.9,1.79,152248.4,133144.8,3961.7,20481.3,3909.1,9465.0,24488.0,10599.2,19741.2,40499.3,19103.6,152248.4,96864.3,31094.6,36272.1,42122.6,54105.3,152248.4,72361.7,61492.1,18394.5
